Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
28/12/2017,B,$$,10950.4345,10950.4345,223071301,11543623331,1,0,BLOOMBERG,2017-12-28,10950.4345
29/12/2017,B,$$,10955.1325,10955.1325,223167004,11481248962,1,0,BLOOMBERG,2017-12-29,10955.1325
30/12/2017,B,$$,10957.9394,10957.9394,223224184,11484488273,1,0,BLOOMBERG,2017-12-30,10957.9394
31/12/2017,B,$$,10956.6243,10956.6243,223197394,11487401965,1,0,BLOOMBERG,2017-12-31,10956.6243
01/01/2018,B,$$,10957.4049,10957.4049,223213295,11490542877,1,0,BLOOMBERG,2018-01-01,10957.4049
02/01/2018,B,$$,10958.4631,10958.4631,223234852,11485933316,1,0,BLOOMBERG,2018-01-02,10958.4631
03/01/2018,B,$$,10959.0503,10959.0503,223246814,11856178767,1,0,BLOOMBERG,2018-01-03,10959.0503
04/01/2018,B,$$,10955.9205,10955.9205,223183057,11795237642,1,0,BLOOMBERG,2018-01-04,10955.9205
05/01/2018,B,$$,10960.1391,10960.1391,223268994,11663337239,1,0,BLOOMBERG,2018-01-05,10960.1391
06/01/2018,B,$$,10963.3243,10963.3243,223333879,11666993425,1,0,BLOOMBERG,2018-01-06,10963.3243
07/01/2018,B,$$,10961.6349,10961.6349,223299465,11670766226,1,0,BLOOMBERG,2018-01-07,10961.6349
08/01/2018,B,$$,10960.8855,10960.8855,223284199,11553881000,1,0,BLOOMBERG,2018-01-08,10960.8855
09/01/2018,B,$$,10964.7434,10964.7434,223362788,11587171240,1,0,BLOOMBERG,2018-01-09,10964.7434
10/01/2018,B,$$,10959.5994,10959.5994,223257999,11548198361,1,0,BLOOMBERG,2018-01-10,10959.5994
11/01/2018,B,$$,10961.0398,10961.0398,223287342,11550016538,1,0,BLOOMBERG,2018-01-11,10961.0398
12/01/2018,B,$$,10966.0677,10966.0677,223389765,11555614354,1,0,BLOOMBERG,2018-01-12,10966.0677
13/01/2018,B,$$,10970.5217,10970.5217,223480498,11560607781,1,0,BLOOMBERG,2018-01-13,10970.5217
14/01/2018,B,$$,10967.5068,10967.5068,223419081,11565461244,1,0,BLOOMBERG,2018-01-14,10967.5068
15/01/2018,B,$$,10970.8542,10970.8542,223487271,12336291712,1,0,BLOOMBERG,2018-01-15,10970.8542
16/01/2018,B,$$,10971.7096,10971.7096,223504696,11567540356,1,0,BLOOMBERG,2018-01-16,10971.7096
17/01/2018,B,$$,10973.3306,10973.3306,223537718,11564766872,1,0,BLOOMBERG,2018-01-17,10973.3306
18/01/2018,B,$$,10975.2676,10975.2676,223577176,11567108743,1,0,BLOOMBERG,2018-01-18,10975.2676
19/01/2018,B,$$,10978.2525,10978.2525,223637982,11570554803,1,0,BLOOMBERG,2018-01-19,10978.2525
20/01/2018,B,$$,10985.8029,10985.8029,223791791,11578811582,1,0,BLOOMBERG,2018-01-20,10985.8029
21/01/2018,B,$$,10979.7305,10979.7305,223668090,11587349963,1,0,BLOOMBERG,2018-01-21,10979.7305
22/01/2018,B,$$,10986.2786,10986.2786,223801481,11780021046,1,0,BLOOMBERG,2018-01-22,10986.2786
23/01/2018,B,$$,10993.4557,10993.4557,223947686,11788020937,1,0,BLOOMBERG,2018-01-23,10993.4557
24/01/2018,B,$$,10996.9589,10996.9589,224019050,12052579408,1,0,BLOOMBERG,2018-01-24,10996.9589
